Name,Rank,Revenues (M),Mission,Mission Link
Walmart,1,"$482,130","We save people money, so they can live better",http://corporate.walmart.com/
Exxon Mobil,2,"$246,204","Exxon Mobil Corporation is committed to being the world's premier petroleum and petrochemical company. To that end, we must continuously achieve superior financial and operating results while simultaneously adhering to high ethical standards.",http://corporate.exxonmobil.com/en/company/about-us/guiding-principles/our-guiding-principles
Apple,3,"$233,715","Apple designs Macs, the best personal computers in the world, along with OS X, iLife, iWork and professional software. Apple leads the digital music revolution with its iPods and iTunes online store. Apple has reinvented the mobile phone with its revolutionary iPhone and App store, and is defining the future of mobile media and computing devices with iPad.",http://www.inc.com/jim-schleckser/apple-s-boring-mission-statement-and-what-we-can-learn-from-it.html
Berkshire Hathaway,4,"$210,821",,
McKesson,5,"$181,241","Together with our customers and partners, we are creating a sustainable future for health care. Together we are charting a course to better health.",http://www.mckesson.com/about-mckesson/who-we-are/
UnitedHealth Group,6,"$157,107",To help people live healthier lives and to help make the health system work better for everyone.,http://www.unitedhealthgroup.com/about/missionvalues.aspx
CVS Health,7,"$153,290",Helping people on their path to better health,https://cvshealth.com/about/purpose-statement
General Motors,8,"$152,356",To earn customers for life,http://www.gm.com/company/about-gm.html
Ford Motor,9,"$149,558","People working together as a lean, global enterprise to make people’s lives better through automotive and mobility leadership.",https://corporate.ford.com/company.html
AT&T,10,"$146,801","Connect people with their world, everywhere they live, work and play … and do it better than anyone else.",http://www.att.com/gen/investor-relations?pid=5711
General Electric,11,"$140,389","TO INVENT THE NEXT INDUSTRIAL ERA, TO BUILD, MOVE, POWER AND CURE THE WORLD.",https://www.ge.com/ar2014/ceo-letter/
AmerisourceBergen,12,"$135,962",To improve patients' lives by delivering innovative products and services that drive quality and efficiency in pharmaceutical care.,http://www.amerisourcebergen.com/abcnew/careers/who-we-are.aspx
Verizon,13,"$131,620","As a leader in communications, Verizon's mission is to enable people and businesses to communicate with each other. We are also committed to providing full and open communication with our customers, employees and investors.",http://ambitionbox.com/company/verizon-communications
Chevron,14,"$131,118","To be the global energy company most admired for its people, partnership and performance. ",https://www.chevron.com/about/the-chevron-way
Costco,15,"$116,199",To continually provide our members with quality goods and services at the lowest possible prices.,http://media.corporate-ir.net/media_files/NSD/cost/reports/our_mission.pdf
Fannie Mae,16,"$110,359","To provide access to reliable, affordable mortgage financing in all markets at all times.",http://www.fanniemae.com/portal/about-fm/what-we-do.html#sthash.raYAUSh1.dpuf
Kroger,17,"$109,830","To be a leader in the distribution and merchandising of food, pharmacy, health and personal care items, seasonal merchandise, and related products and services.",http://www.thekrogerco.com/vendors-suppliers
Amazon.com,18,"$107,006",To be Earth's most customer centric company; to build a place where people can come to find and discover anything they might want to buy online.,https://www.facebook.com/pg/Amazon/about/
Walgreens Boots Alliance,19,"$103,444","Be the first choice for pharmacy, wellbeing and beauty - caring for people and communities around the world",http://www.walgreensbootsalliance.com/about/vision-purpose-values/
HP,20,"$103,355","To create technology that makes life better for everyone, everywhere",https://twitter.com/hp/status/661293151542349825
Cardinal Health,21,"$102,531",,
Express Scripts Holding,22,"$101,752",To make prescription drugs safer and more affordable ,http://lab.express-scripts.com/about#sthash.cyvbCVN7.dpuf
J.P. Morgan Chase,23,"$101,006",We want to be the best financial services company in the world.,https://www.jpmorganchase.com/corporate/About-JPMC/document/business_principles.pdf
Boeing,24,"$96,114","Connect, Protect, Explore and Inspire the World through Aerospace Innovation",http://www.boeing.com/principles/vision.page
Microsoft,25,"$93,580",To enable people and businesses throughout the world to realize their full potential. ,https://www.microsoft.com/enable/microsoft/mission.aspx
Bank of America Corp.,26,"$93,056",To help improve the financial lives of our customers and clients through the power of every connection.,http://about.bankofamerica.com/en-us/our-story/who-we-are.html
Wells Fargo,27,"$90,033",We want to satisfy our customers’ financial needs and help them succeed financially.,https://www.wellsfargo.com/about/corporate/vision-and-values/our-vision
Home Depot,28,"$88,519","The Home Depot is in the home improvement business and our goal is to provide the highest level of service, the broadest selection of products and the most competitive prices.",http://ir.homedepot.com/investor-resources/faqs
Citigroup,29,"$88,275",To serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress,http://www.citigroup.com/citi/about/mission-and-value-proposition.html
Phillips 66,30,"$87,169",To provide energy and improve lives,http://www.phillips66.com/EN/about/Pages/visionandvalues.aspx
IBM,31,"$82,461",,
Valero Energy,32,"$81,824","​Valero will be the premier manufacturer, distributor and marketer of quality transportation fuels and petrochemical feedstocks, while serving the needs of our employees, communities and stakeholders. ",https://www.valero.com/en-us/AboutValero/VisionStatement
